Type,Name,Rev,New Name,New Rev,Policy,State,Vault,Owner,description,clau,Designated User,CUSSignatureJD,CUSSignatureSH2,CUSSignatureSH,Access Type,Checkin Reason,Language,Is Version Object,Move Files To Version,Suspend Versioning,Title,Originator,CUSSignatureGYDate,CUSSignatureBZH,CUSSignatureGY,CUSSignatureBZHDate,CUSSignatureBZ,CUSSignatureBZDate,CUSSignaturePZ,CUSSignatureJD2,CUSSignatureJDDate,CUSSignatureJD2Date,CUSSignatureSH2Date,CUSSignatureSHDate,CUSSignaturePZDate,Version,ZTEDocCatagory,File Version,Version Date,Primary Key,Secondary Keys,CAD Type,ZTEResponsiblePerson,ZTEResponsibleDepartment
ZTENEWTZD,291669105437617,1,291669105437617,1,Version,Exists,eService Production,liu.haibo,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,P-06-0742-2022_关于捷联中巴6813E6CF-N044、N062车型中侧内饰总成窗下沿装饰罩物料变更的技术变更.docx,liu.haibo,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,ZL-TEST-9501,0,ZL-TEST-9501,0,Document Release,RELEASED,eService Production,zhang.lei,,FALSE,Unassigned,,,,Inherited,,English,False,False,False,ZL-TEST-9501,zhang.lei,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,21693904520852,1,21693904520852,1,Version,Exists,eService Production,zhang.lei,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,测试.xlsx,zhang.lei,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,P-06-0101-2021,0,P-06-0101-2021,0,Document Release,RELEASED,eService Production,si.kai,关于6107BEVB3-2800-M003车架改制总成变更的通知,FALSE,Unassigned,su.xuanhao,,guo.hui,Inherited,,English,False,False,False,6107BEVB3-M003,si.kai,,,,,si.kai,2021/02/24,yao.cheng,,2021/02/24,,,2021/02/24,2021/02/25,,02CS,,,,,,,
ZTENEWTZD,P-06-0102-2021,0,P-06-0102-2021,0,Document Release,RELEASED,eService Production,guo.qingfeng,关于6107BEVB3-M003车型顶盖骨架总成变更的通知,FALSE,Unassigned,su.xuanhao,,guo.hui,Inherited,,English,False,False,False,6107BEVB3-M003,guo.qingfeng,,,,,guo.qingfeng,2021/02/25,yao.cheng,,2021/02/25,,,2021/02/26,2021/02/26,,02CS,,,,,,,
ZTENEWTZD,151614136550229,1,151614136550229,1,Version,Exists,eService Production,si.kai,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,P-06-0101-2021关于6107BEVB3-2800-M003车架改制总成技术变更的通知20210224.docx,si.kai,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,101625021929979,1,101625021929979,1,Version,Exists,eService Production,zou.kailang,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,2021.05.27 中兴智能DC1800B68-XT配置清单.doc,zou.kailang,,,,,,,,,,,,,,,01TY,,,,,,,
ZTENEWTZD,P-05-0135-2021,0,P-05-0135-2021,0,Document Release,RELEASED,eService Production,yihang.cai,关于6859BEVBF1-L073(8.5米匈牙利车)认证试验物料损坏修复的技术通知,FALSE,Unassigned,,,li.feng,Inherited,,English,False,False,False,6859BEVBF1-L073,yihang.cai,,,,,yihang.cai,2021/05/08,yao.cheng2,,,,,2021/05/08,2021/05/08,,02CS,,,,,,,
ZTENEWTZD,P-05-0174-2021,0,P-05-0174-2021,0,Document Release,RELEASED,eService Production,luo.wenke,关于GTZ6555BEVB-L031自动驾驶全车玻璃贴防晒膜的技术通知单,FALSE,Unassigned,,,zhang.yanmei,Inherited,,English,False,False,False,GTZ6555BEVB-L031,luo.wenke,,,,,luo.wenke,2021/07/01,meng.shuxing,,,,,2021/07/01,2021/07/02,,01TY,,,,,,,
ZTENEWTZD,11625100689000,1,11625100689000,1,Version,Exists,eService Production,luo.wenke,,FALSE,Unassigned,,,,Inherited,,English,True,False,False,关于GTZ6555BEVB-L031自动驾驶全车玻璃贴防晒膜的技术通知单.docx,luo.wenke,,,,,,,,,,,,,,,01TY,,,,,,,
